date,name,Active,Recovered,Deaths,TotalConfirmed
"July 24, 2020",Dela Paz,24,8,2,34
"July 24, 2020",Kalawaan,19,24,7,50
"July 24, 2020",Kapasigan,5,3,2,10
"July 24, 2020",Kapitolyo,22,33,1,56
"July 24, 2020",Malinao,2,5,1,8
"July 24, 2020",Manggahan,63,49,7,119
"July 24, 2020",Maybunga,19,50,8,77
"July 24, 2020",Oranbo,0,5,0,5
"July 24, 2020",Palatiw,11,17,3,31
"July 24, 2020",Pinagbuhatan,132,101,14,247
"July 24, 2020",Pineda,13,37,5,55
"July 24, 2020",Rosario,50,59,7,116
"July 24, 2020",Sagad,13,26,1,40
"July 24, 2020",San Antonio,16,33,3,52
"July 24, 2020",San Joaquin,19,11,0,30
"July 24, 2020",San Jose,1,2,0,3
"July 24, 2020",San Miguel,21,43,8,72
"July 24, 2020",San Nicolas,2,5,0,7
"July 24, 2020",Santa Cruz,8,8,2,18
"July 24, 2020",Santa Lucia,28,38,6,72
"July 24, 2020",Santa Rosa,3,2,0,5
"July 24, 2020",Santo Tomas,9,17,1,27
"July 24, 2020",Santolan,23,26,0,55
"July 24, 2020",Sumilang,3,3,1,7
"July 24, 2020",Ugong,32,30,7,69
